CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
BIDCO AFRICA LTD BEVERAGE,28/08/2023,91468643,0090969710000010790,23527.81,3764.45
MY FROZEN SUPPLIES SR,29/08/2023,INV/2023/832,0110377660000000832,7638.0,1222.08
BUDGET MEALS COMPANY LTD,26/08/2023,0514,0040552120000000514,10206.0,1632.96
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,26/08/2023,9730263601,0040094810000165652,39842.25,6374.76
BIO FOOD PRODUCTS LTD,27/08/2023,1061931,0190979930000002286,25814.25,4130.28
KENAFRIC BAKERY LTD,27/08/2023,952760,0010195680000097281,640.5,102.48
SBC KENYA LIMITED,28/08/2023,NBPSIN163362,0190431300000005697,12965.25,2074.44
MERIT AFRICA LTD,30/08/2023,127503,0110164060000011274,15770.0,2523.2
DPL FESTIVE  LIMITED,26/08/2023,5395367,0020108540000256072,1055.31,168.85
DPL FESTIVE  LIMITED,26/08/2023,5395272,0020108550000328813,4032.5,645.2
KENYA BREWERIES LTD,25/08/2023,9501459163,0110396000000058870,538450.69,86152.11
HACO INDUSTRIES KENYA  LTD,22/08/2023,IN23080497,0190431310000006913,14033.75,2245.4
GITHUNGURI DAIRY FARMERS,29/08/2023,P1870997/INV,0190431800000202529,2215.38,354.46
NEW KCC LTD,30/08/2023,95120947,0190428740000101546,2138.25,342.12
SUPERSLEEK LIMITED,29/08/2023,178520,0040075150000014755,8170.31,1307.25
POLYTHENE INDUSTRIES LIMITED,25/08/2023,188650,0090969180000008849,59100.0,9456.0
ROSAKIND EA LIMITED,25/08/2023,51965,0040762670000003466,14882.75,2381.24
CHANDARIA INDUSTRIES LTD HENKEL C BRANDS,28/08/2023,1546480,0110167020000175402,40373.19,6459.71
SALIM WAZARAN KENYA CO. LTD,24/08/2023,SDM-PSIO235008,0040095340000007501,32142.5,5142.8
NEW KCC LTD,30/08/2023,95120944,0190428740000101543,1871.25,299.4
KAPA OIL REFINERIES LTD,30/08/2023,90285643,0110168250000037317,169441.5,27110.64
PONDERS LIMITED,22/08/2023,NBI-87421,0190429790000012544,49976.19,7996.19
HACO INDUSTRIES KENYA  LTD,24/08/2023,IN23080570,0190431310000006997,22902.63,3664.42
ZENKO KENYA LIMITED,21/08/2023,IN426208,0190433770000073707,65921.5,10547.44
ROSHNI DIST LTD  R D,15/08/2023,0351397,0110400270000011493,360649.19,57703.87
EAST AFRICA UNILEVER  K  U L,24/08/2023,5230253660,0110161060000007820,112804.13,18048.66
RADBONE CLARK  K  LTD,19/08/2023,270903,0010195890000024709,23634.0,3781.44
GLACIER PRODUCTS LTD G P,21/08/2023,445725,0190979210000027460,10823.31,1731.73
BIO FOOD PRODUCTS LTD,24/08/2023,1061541,0190979930000001753,13592.44,2174.79
SALIM WAZARAN KENYA CO. LTD,25/08/2023,SDM-PS10235010,0040095340000007503,17267.25,2762.76
POLYTHENE INDUSTRIES LIMITED,26/08/2023,188656,0090969180000008855,33200.0,5312.0
HASBAH KENYA LTD,26/08/2023,NBIINV1078308,0090972930000024973,96089.0,15374.24
HACO INDUSTRIES KENYA  LTD,23/08/2023,IN23080544,0190431310000006971,27627.94,4420.47
NEW KCC LTD,29/08/2023,95119618,0190428630000011012,3440.63,550.5
KIM FAY EAST AFRICA LTD,22/08/2023,IN586172,0110167480000042262,289719.81,46355.17
GITHUNGURI DAIRY FARMERS,28/08/2023,Q00032873/INV,0190431670000066797,22496.44,3599.43
EXCEL CHEMICALS LTD,23/08/2023,982832,0190434660000039891,29974.5,4795.92
NEW KCC LTD,30/08/2023,95120887,0190428740000101489,1361.25,217.8
254 BREWING COMPANY LIMITED,05/08/2023,#INV-014969,0190443080000002904,4655.19,744.83
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,29/08/2023,9730264491,0040094810000166536,3569.0,571.04
EQUATOR BOTTLERS LIMITED,28/08/2023,1222325553,0110604290000015996,71911.69,11505.87
KENYA BREWERIES LTD,18/08/2023,9501459087,0110396000000058813,372117.56,59538.81
SIDDHAM BEVERAGES LIMITED,21/08/2023,78383,0190406900000007435,23132.0,3701.12
SUPER GIBS LTD,21/08/2023,36545,0040095970000002076,6517.25,1042.76
WORLD BRANDS K LTD HQ,21/08/2023,061125,0040094050000012617,74262.69,11882.03
NEW WESTLAND STORES,18/08/2023,432633,0430205230000015701,37264.75,5962.36
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,28/08/2023,9730264023,0040094820000029839,24184.5,3869.52
KENYA WINE AGENCIES KWAL,22/08/2023,0000459190,0110144790000014177,202128.75,32340.6
SALIM WAZARAN KENYA CO. LTD,25/08/2023,SDM-PSI0235022,0040095340000007515,82305.0,13168.8
BROOKSIDE DAIRY,24/08/2023,2308250821,0040095420000354273,13611.81,2177.89
TWIRL ENTERPRISES LTD,23/08/2023,4012,0190178920000001594,40293.13,6446.9
EAST AFRICA UNILEVER  K  U L,26/08/2023,5230253815,0110161060000007949,123360.38,19737.66
OSHO CHEMICAL INDUSTRIES LTD,20/08/2023,PSD0045316,HTTPS://ITAX.KRA.GO.KE/kra-pORTAL/INVOICEcHK.HTM?ACTIONcODE=LOADpAGE&INVOICEnO=0110167990000020108,3985.69,637.71
