#,Type,DocNum,Description,Custom Entry,AddID,CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
10963,Local,1713285,Goods & Services,,P051676640N,LAKHANI GENERAL SUPPLIERS LTD,04/08/2023,1081392,0040559740000017952,6015.81,962.53
10964,Local,1713286,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,08/08/2023,SINV100180,0190434240000027053,2972.38,475.58
10965,Local,1713287,Goods & Services,,P051691789U,TWIRL ENTERPRISES LTD,07/08/2023,3944,0190178920000001512,136146.56,21783.45
10966,Local,1713289,Goods & Services,,P051101234A,HYPERMART LTD SR HQ,07/08/2023,702542,0010193240000057276,95230,15236.8
10967,Local,1713290,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,06/08/2023,1552230554,0110614860000039418,196.13,31.38
10968,Local,1713291,Goods & Services,,P051320795E,PRESTIGE DISTRIBUTORS,07/08/2023,INV132995,0020055110000006499,2042.94,326.87
10969,Local,1713292,Goods & Services,,P051320598F,EDUCATE YOURSELF LTD,07/08/2023,26890,0190995350000003311,618.13,98.9
10970,Local,1713294,Goods & Services,,P051472068F,MALACHITE LIMITED BEER,07/08/2023,10297524,0190431320000030662,2069,331.04
10971,Local,1713295,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,07/08/2023,1552230557,0110397370000063633,224.13,35.86
10972,Local,1713297,Goods & Services,,P051327435D,ENOVA INDUSTRIES LIMITED,05/08/2023,75072,0170519390000015598,2732.75,437.24
10973,Local,1713300,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,16/08/2023,93411,0430205210000006912,26318.5,4210.96
10974,Local,1713301,Goods & Services,,P000608167F,HACO INDUSTRIES KENYA  LTD,09/08/2023,IN23080184,0190431310000006579,44273.25,7083.72
10975,Local,1713302,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,14/08/2023,5374708,0020108560000319316,1733.75,277.4
10976,Local,1713303,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,12/08/2023,5372978,0020108540000249789,1226.94,196.31
10977,Local,1713304,Goods & Services,,P000592785G,TWIGA STATIONERS AND PRINTERS LTD,10/08/2023,669477,0010193140000022790,4502.31,720.37
10978,Local,1713305,Goods & Services,,P000611685U,JAK INDUSTRIES LTD 2ND ACC SR,09/08/2023,26627,0430205880000001500,32189,5150.24
10979,Local,1713306,Goods & Services,,P000592785G,TWIGA STATIONERS AND PRINTERS LTD,05/08/2023,669100,0010193140000022399,5060.63,809.7
10980,Local,1713307,Goods & Services,,P051849178F,VEGAN WORLD LIMITED,09/08/2023,101440,0110186070000001095,5179.31,828.69
10981,Local,1713308,Goods & Services,,P051098613Z,EQUATORIAL NUTS PROCESSORS LTD,09/08/2023,INV42586,0040308880000000738,7595.69,1215.31
10982,Local,1713309,Goods & Services,,P051179490Z,TOP FOOD EA LTD,04/08/2023,54853,0040563010000006636,45710.13,7313.62
10983,Local,1713310,Goods & Services,,P051671866M,GROUPACO HOLDINGS LTD,04/08/2023,GHL9540,0190436350000003710,5906.25,945
10984,Local,1713311,Goods & Services,,P000632755W,RAKAL LTD,05/08/2023,WS-66634,0110161720000001548,15600,2496
10985,Local,1713312,Goods & Services,,P051117984L,COCKRID LIMITED,07/08/2023,0091654190000001251,0091654190000001251,3258.44,521.35
10986,Local,1713313,Goods & Services,,P000618594N,CHANDARIA INDUSTRIES  LTD,05/08/2023,1529274,0110167020000165326,173258.44,27721.35
10987,Local,1713314,Goods & Services,,P051316010K,CANON CHEMICALS LTD,08/08/2023,INV23-002370,0190979100000006520,20325.69,3252.11
10988,Local,1713315,Goods & Services,,P051927583C,ADARSH MANUFACTURERS LTD,08/08/2023,0002643,0190275950000002643,53224.13,8515.86
10989,Local,1713317,Goods & Services,,P051671866M,GROUPACO HOLDINGS LTD,08/08/2023,GHL9589,0190436350000003794,1024.13,163.86
10990,Local,1713318,Goods & Services,,P051120023Y,SUPER GIBS LTD,07/08/2023,36424,0040095970000001958,3724.13,595.86
10991,Local,1713319,Goods & Services,,P051430155T,THE PAPER FACTORY LTD,07/08/2023,250,0190176530000000250,18800,3008
10992,Local,1713320,Goods & Services,,P000593490C,SHAMULA LIMITED,07/08/2023,60261,0090774550000001145,30750,4920
10993,Local,1713321,Goods & Services,,P051521431Z,TANIA EAST AFRICA LTD,08/08/2023,8858,0040563000000000726,1934.5,309.52
10994,Local,1713322,Goods & Services,,P051514436B,OXOPLAST KENYA LIMITED,08/08/2023,OXOP/INV/12296,0110395880000002561,24450,3912
10995,Local,1713323,Goods & Services,,P051979723Z,ALIMP GROUP LIMITED SR,08/08/2023,AGL22/1372,0170516520000001039,11637.94,1862.07
10996,Local,1713324,Goods & Services,,P051745680U,STORESOME TRADING CO LTD SR,08/08/2023,18599,0040074400000011953,121057.75,19369.24
10997,Local,1713325,Goods & Services,,P051116172X,BROOKSIDE DAIRY,05/08/2023,2308060870,0040095410000312324,58129.88,9300.78
10998,Local,1713327,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,10/08/2023,5369211,0020115300000078218,3822.56,611.61
10999,Local,1713328,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,07/08/2023,6004972,0190980270000013719,49409.94,7905.59
11000,Local,1713331,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,11/08/2023,5371441,0020115300000078655,2802.5,448.4
11001,Local,1713333,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,11/08/2023,5370986,0020115300000078526,8206.88,1313.1
11002,Local,1713334,Goods & Services,,P051168946K,MOHANS OYSTERBAY DRINKS  KENYA,05/08/2023,16150,0010193420000011865,88267.25,14122.76
11003,Local,1713335,Goods & Services,,P051116172X,BROOKSIDE DAIRY,08/08/2023,2308091093A,0040095430000156842,689.69,110.35
11004,Local,1713338,Goods & Services,,P051116172X,BROOKSIDE DAIRY,09/08/2023,2308081728,0040095430000156831,26899.69,4303.95
11005,Local,1713339,Goods & Services,,P051677474Z,JUBILEE TISSUE INDUSTRIES LTD,20/07/2023,JTIL20266/2023,0040075050000010079,7590.94,1214.55
11006,Local,1713340,Goods & Services,,P000608549F,BRUSH MANUFACTURERS,08/08/2023,397486,0190276240000015990,34693.13,5550.9
11007,Local,1713341,Goods & Services,,P000611792U,GLACIER PRODUCTS LTD G P,02/08/2023,441250,0190979290000014534,13228.44,2116.55
11008,Local,1713342,Goods & Services,,P051111463K,PROPACK KENYA LTD,11/08/2023,78868,0040793390000011131,101123.56,16179.77
11009,Local,1713344,Goods & Services,,P000592659D,UNGA LTD,09/08/2023,910096911,0040095900000011757,232654.5,37224.72
11010,Local,1713345,Goods & Services,,P051676640N,LAKHANI GENERAL SUPPLIERS LTD,05/08/2023,LC0418,0040559740000018005,12349.06,1975.85
11011,Local,1713346,Goods & Services,,P000591795D,RAZCO LTD,08/08/2023,2306008352,0190407180000030008,50595.44,8095.27
11012,Local,1713347,Goods & Services,,P000591334K,DEBENHAM AND FEAR LTD HQ,04/08/2023,546758,0040071920000031705,54403.75,8704.6
11013,Local,1713348,Goods & Services,,P000591334K,DEBENHAM AND FEAR LTD HQ,04/08/2023,546756,0040071920000031703,153647.94,24583.67
11014,Local,1713349,Goods & Services,,P000591334K,DEBENHAM AND FEAR LTD HQ,08/08/2023,547002,0040071920000031996,2606.88,417.1
11015,Local,1713350,Goods & Services,,P000599114W,NAPRO IND LTD,09/08/2023,283998,0010194730000001207,2279.81,364.77
11016,Local,1713353,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,09/08/2023,SINV100286,0190434240000027145,2497.13,399.54
11017,Local,1713354,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,10/08/2023,SINV100433,0190434240000027212,1720.94,275.35
11018,Local,1713355,Goods & Services,,P000625880F,TRI CLOVER INDUSTRIES LTD,09/08/2023,269292,0110605590000014841,48010.31,7681.65
11019,Local,1713356,Goods & Services,,P051742644G,DELISH AND NUTRI LTD,04/08/2023,3567,0090777980000000774,1443.38,230.94
11020,Local,1713357,Goods & Services,,P000610189U,SUDI CHEMICAL INDUSTRIES LTD,05/08/2023,34707,0430201360000001970,2720.88,435.34
11021,Local,1713358,Goods & Services,,P051677474Z,JUBILEE TISSUE INDUSTRIES LTD,22/07/2023,JTIL20341/2023,0040075050000010161,29057.5,4649.2
11022,Local,1713359,Goods & Services,,P051096624B,FINSBURY TRADING LIMITED MSA,10/08/2023,NIN73044,0110399950000019579,39633.94,6341.43
11023,Local,1713360,Goods & Services,,P000624607O,HIGHLANDS DRINKS LIMITED,11/08/2023,371439,0110164390000017153,17530.81,2804.93
11024,Local,1713361,Goods & Services,,P051695902K,VIPINGO INDUSTRIES LTD,08/08/2023,ARIN7925,0110607980000009053,3699.31,591.89
11025,Local,1713362,Goods & Services,,P051149521X,SUNDRIES BARGAIN NAIROBI LTD,07/08/2023,207629,0010194020000012227,28732.75,4597.24
11026,Local,1713364,Goods & Services,,P051116172X,BROOKSIDE DAIRY,10/08/2023,2308110991,0040095410000317833,12089.25,1934.28
11027,Local,1713365,Goods & Services,,P051152671V,NEW KCC LTD,11/08/2023,95102594,0190428680000015759,3406.06,544.97
11028,Local,1713368,Goods & Services,,P051727538R,SUPER SAVERS DISTRIBUTION LTD,04/08/2023,NIN6176,0110399940000001379,15775.5,2524.08
11029,Local,1713369,Goods & Services,,P051100924G,KEVIAN KENYA LTD,07/08/2023,KKL02073442,0040092770000017326,23135.38,3701.66
11030,Local,1713370,Goods & Services,,P051428833J,KALON FOODS LIMITED,10/08/2023,KF41220,0110640400000006971,6551.75,1048.28
11031,Local,1713371,Goods & Services,,P000611792U,GLACIER PRODUCTS LTD G P,02/08/2023,441139,0190980220000004063,16475.44,2636.07
11032,Local,1713372,Goods & Services,,P051183865E,EAST AFRICA STAR BAKERY,10/08/2023,145199,0041456030000000929,6396.56,1023.45
11033,Local,1713373,Goods & Services,,P000596926F,KENCHIC FROZEN,10/08/2023,KSIN4681382,0020594590000068086,4420.81,707.33
11034,Local,1713374,Goods & Services,,P051100924G,KEVIAN KENYA LTD,07/08/2023,KKL02073441,0040092770000017325,15643.56,2502.97
11035,Local,1713375,Goods & Services,,P000608017P,KENYA NUT COMPANY,08/08/2023,1129717,0020110750000018250,184972,29595.52
11036,Local,1713376,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,31/07/2023,92898,0430205210000006717,11663.81,1866.21
11037,Local,1713377,Goods & Services,,P051169597V,WESTLANDS TRADING LTD,08/08/2023,92897,0430205210000006724,18234.69,2917.55
11038,Local,1713378,Goods & Services,,P051183865E,EAST AFRICA STAR BAKERY,10/08/2023,143274,0041456030000000931,12525.88,2004.14
11039,Local,1713379,Goods & Services,,P051345577O,WEETABIX E.A LTD,09/08/2023,IL2308000146,0110396600000010731,21521.06,3443.37
11040,Local,1713380,Goods & Services,,P000601680O,PEMBE FLOUR MILLS,11/08/2023,30142250,0110397000000040511,2307.63,369.22
11041,Local,1713381,Goods & Services,,P000611792U,GLACIER PRODUCTS LTD G P,07/08/2023,442110,0190979210000026302,11327.5,1812.4
11042,Local,1713382,Goods & Services,,P000596926F,KENCHIC FROZEN,11/08/2023,KSIN4681791,0020594590000068755,9221.81,1475.49
11043,Local,1713383,Goods & Services,,P000596926F,KENCHIC LIMITED DELI ACCOUNT 2,11/08/2023,KSIN4681788,0020594590000068752,1431.5,229.04
11044,Local,1713384,Goods & Services,,P051096624B,FINSBURY TRADING LIMITED MSA,11/08/2023,NIN73165,0110399950000019727,50549.38,8087.9
11045,Local,1713385,Goods & Services,,P000592722P,FARMERS CHOICE LTD,11/08/2023,SI+N000281931,0090541490000050869,66220.63,10595.3
11046,Local,1713386,Goods & Services,,P000591538Q,NEW WESTLAND STORES,08/08/2023,431973,0430205230000014993,12246.06,1959.37
11047,Local,1713387,Goods & Services,,P051133092U,HEALTHY U TWO THOUSAND LTD,11/08/2023,5135420,0020114550000014626,72559.94,11609.59
11048,Local,1713388,Goods & Services,,P051341494B,CONFINI LIMITED,11/08/2023,217053,0110164920000001891,9465.5,1514.48
11049,Local,1713389,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,12/08/2023,5372937,0020108540000249776,5318.81,851.01
